word,word_mark,pos_tag,annotation
Tom,Tom,PROPN,O
ask,ask,VERB,O
ed,##ed,VERB,O
R,R,PROPN,O
ice,##ice,PROPN,O
",",",",PUNCT,O
"""","""",PUNCT,O
Why,Why,ADV,O
do,do,AUX,O
",",",",PUNCT,O
the,the,DET,O
count,count,NOUN,O
ries,##ries,NOUN,O
of,of,ADP,O
the,the,DET,B-geo
Arab,Arab,PROPN,I-geo
ian,##ian,PROPN,I-geo
G,G,PROPN,I-geo
ulf,##ulf,PROPN,I-geo
pay,pay,VERB,O
?,?,PUNCT,O
"""","""",PUNCT,O
.,.,PUNCT,O
###,###,SPACE,O
He,He,PRON,O
did,did,AUX,O
not,not,PART,O
for,for,VERB,O
get,##get,VERB,O
to,to,PART,O
have,have,VERB,O
Egypt,Egypt,PROPN,B-geo
also,also,ADV,O
offer,offer,VERB,O
its,its,PRON,O
s,s,NOUN,O
ons,##ons,NOUN,O
as,as,ADP,O
an,an,DET,O
altern,altern,NOUN,O
ative,##ative,NOUN,O
to,to,ADP,O
the,the,DET,O
American,American,ADJ,O
sold,sold,NOUN,O
iers,##iers,NOUN,O
",",",",PUNCT,O
claim,claim,VERB,O
ing,##ing,VERB,O
that,that,SCONJ,O
what,what,PRON,O
is,is,AUX,O
h,h,VERB,O
app,##app,VERB,O
ening,##ening,VERB,O
in,in,ADP,O
Iraq,Iraq,PROPN,B-geo
is,is,AUX,O
a,a,DET,O
civil,civil,ADJ,O
war,war,NOUN,O
",",",",PUNCT,O
and,and,CCONJ,O
if,if,SCONJ,O
this,this,DET,O
civil,civil,ADJ,O
war,war,NOUN,O
contin,contin,VERB,O
ues,##ues,VERB,O
",",",",PUNCT,O
the,the,DET,O
first,first,ADJ,O
ones,ones,NOUN,O
to,to,PART,O
be,be,AUX,O
har,har,VERB,O
med,##med,VERB,O
will,will,AUX,O
be,be,VERB,O
the,the,DET,O
count,count,NOUN,O
ries,##ries,NOUN,O
of,of,ADP,O
the,the,DET,B-geo
Arab,Arab,PROPN,I-geo
ian,##ian,PROPN,I-geo
G,G,PROPN,I-geo
ulf,##ulf,PROPN,I-geo
.,.,PUNCT,O
###,###,SPACE,O
Besides,Besides,ADV,O
",",",",PUNCT,O
there,there,PRON,O
are,are,AUX,O
security,security,NOUN,O
ag,ag,NOUN,O
reements,##reements,NOUN,O
between,between,ADP,O
us,us,PRON,O
and,and,CCONJ,O
Ku,Ku,PROPN,B-geo
wait,##wait,PROPN,I-geo
and,and,CCONJ,O
the,the,DET,O
other,other,ADJ,O
G,G,PROPN,O
ulf,##ulf,PROPN,O
states,states,NOUN,O
...,...,PUNCT,O
we,we,PRON,O
c,c,VERB,O
ame,##ame,VERB,O
at,at,ADP,O
their,their,PRON,O
request,request,NOUN,O
to,to,PART,O
protect,protect,VERB,O
them,them,PRON,O
from,from,ADP,O
